;Auctions;Order;obname;agent;Oid;type;dir;price;quty;validity
0;Auctions;Order;lvmh;bhd;0.0;L;A;5.05;455.0;-1.0
1;Auctions;##############################;;;;;;;;
2;Auctions;##############################;;;;;;;;
3;Auctions;##############################;;;;;;;;
4;Auctions;##############################;;;;;;;;
5;Auctions;##############################;;;;;;;;
6;Auctions;##############################;;;;;;;;
7;Auctions;##############################;;;;;;;;
8;Auctions;##############################;;;;;;;;
9;Auctions;##############################;;;;;;;;
10;Auctions;Order;lvmh;moha1;1.0;L;B;4.02;683.0;1.0
11;Auctions;Order;lvmh;moha2;1.0;L;B;4.01;20.0;1.0
12;Auctions;##############################;;;;;;;;
13;Auctions;##############################;;;;;;;;
14;Auctions;##############################;;;;;;;;
15;Auctions;##############################;;;;;;;;
16;Auctions;##############################;;;;;;;;
17;Auctions;##############################;;;;;;;;
18;Auctions;##############################;;;;;;;;
19;Auctions;##############################;;;;;;;;
20;Auctions;Order;lvmh;bhd;0.0;L;A;5.05;455.0;-1.0
21;Auctions;Order;lvmh;moha3;2.0;L;A;5.05;63.0;1.0
22;Auctions;##############################;;;;;;;;
23;Auctions;##############################;;;;;;;;
24;Auctions;##############################;;;;;;;;
25;Auctions;##############################;;;;;;;;
26;Auctions;##############################;;;;;;;;
27;Auctions;##############################;;;;;;;;
28;Auctions;##############################;;;;;;;;
29;Auctions;##############################;;;;;;;;
30;Auctions;Order;lvmh;moha1;2.0;L;B;4.01;597.0;2.0
31;Auctions;Order;lvmh;moha2;2.0;L;B;4.0;8.0;2.0
32;Auctions;Order;lvmh;moha;2.0;L;B;4.0;134.0;2.0
33;Auctions;##############################;;;;;;;;
34;Auctions;##############################;;;;;;;;
35;Auctions;##############################;;;;;;;;
36;Auctions;##############################;;;;;;;;
37;Auctions;##############################;;;;;;;;
38;Auctions;##############################;;;;;;;;
39;Auctions;##############################;;;;;;;;
40;Auctions;Order;lvmh;moha;4.0;L;A;5.08;151.0;1.0
41;Auctions;##############################;;;;;;;;
42;Auctions;##############################;;;;;;;;
43;Auctions;##############################;;;;;;;;
44;Auctions;##############################;;;;;;;;
45;Auctions;##############################;;;;;;;;
46;Auctions;##############################;;;;;;;;
47;Auctions;##############################;;;;;;;;
48;Auctions;##############################;;;;;;;;
49;Auctions;##############################;;;;;;;;
50;Auctions;Order;lvmh;moha1;3.0;L;B;5.07;246.0;1.0
51;Auctions;Order;lvmh;moha3;3.0;L;B;5.05;2.0;1.0
52;Auctions;Order;lvmh;moha1;2.0;L;B;4.01;597.0;1.0
53;Auctions;Order;lvmh;moha2;2.0;L;B;4.0;8.0;1.0
54;Auctions;Order;lvmh;moha;2.0;L;B;4.0;134.0;1.0
55;Auctions;##############################;;;;;;;;
56;Auctions;##############################;;;;;;;;
57;Auctions;##############################;;;;;;;;
58;Auctions;##############################;;;;;;;;
59;Auctions;##############################;;;;;;;;
60;Auctions;Order;lvmh;moha;4.0;L;A;5.08;151.0;1.0
61;Auctions;Order;lvmh;moha3;4.0;L;A;5.08;94.0;1.0
62;Auctions;##############################;;;;;;;;
63;Auctions;##############################;;;;;;;;
64;Auctions;##############################;;;;;;;;
65;Auctions;##############################;;;;;;;;
66;Auctions;##############################;;;;;;;;
67;Auctions;##############################;;;;;;;;
68;Auctions;##############################;;;;;;;;
69;Auctions;##############################;;;;;;;;
70;Auctions;Order;lvmh;moha1;4.0;L;B;5.07;382.0;1.0
71;Auctions;Order;lvmh;moha2;4.0;L;B;5.07;39.0;2.0
72;Auctions;##############################;;;;;;;;
