;Tick;numtick;obname;bestask;bestbid;price;quty;volatility;cum_quty
0;Tick;1;lvmh;5.05;4.02;5.05;463045;0.0;463045
1;Tick;2;lvmh;5.05;4.02;4.97;105500;0.0;568545
2;Tick;3;lvmh;5.08;5.07;5.07;464;0.9050966799187816;569009
3;Tick;4;lvmh;5.08;5.07;5.08;92500;0.8466404195406725;661509
4;Tick;5;lvmh;5.08;4.95;4.95;173208;0.7986655536998396;834717
5;Tick;6;lvmh;5.01;4.95;5.01;82500;0.9573296193057026;917217
6;Tick;7;lvmh;5.01;4.91;4.91;42542;0.8611310391959335;959759
7;Tick;8;lvmh;4.99;4.91;4.98;168000;1.036330522748873;1127759
8;Tick;9;lvmh;5.0;4.91;5.0;267212;0.9704196441304581;1394971
9;Tick;10;lvmh;5.42;4.91;5.42;190212;0.9078423749626237;1585183
10;Tick;11;lvmh;5.42;4.91;5.18;170000;2.280522357316898;1755183
11;Tick;12;lvmh;5.42;4.91;5.15;59500;2.260786669200869;1814683
12;Tick;13;lvmh;5.0;4.91;4.99;362500;2.1985339467816982;2177183
13;Tick;14;lvmh;5.03;4.91;5.03;45892;2.130510953521929;2223075
14;Tick;15;lvmh;5.42;5.12;5.12;182;2.0505437499184618;2223257
15;Tick;16;lvmh;5.42;5.12;5.16;119000;1.9933298295876192;2342257
16;Tick;17;lvmh;5.42;5.05;5.05;108024;1.9663027911963773;2450281
17;Tick;18;lvmh;5.16;5.05;5.14;38500;1.9049903504464571;2488781
18;Tick;19;lvmh;5.16;4.98;4.98;92258;1.8691300272649642;2581039
19;Tick;20;lvmh;5.16;4.98;4.98;219;1.8462644441305842;2581258
20;Tick;21;lvmh;5.01;4.98;4.99;87500;1.8227290123964053;2668758
21;Tick;22;lvmh;5.14;4.98;5.14;1844458;1.793788223418859;4513216
22;Tick;23;lvmh;5.14;4.98;5.09;17500;1.7729707014570497;4530716
23;Tick;24;lvmh;5.14;4.98;5.08;19000;1.7348399249548607;4549716
24;Tick;25;lvmh;5.14;5.12;5.12;14500;1.6976573799533698;4564216
25;Tick;26;lvmh;5.04;5.03;5.03;40926;1.671776699602351;4605142
26;Tick;27;lvmh;5.05;5.03;5.05;62454;1.6418046356185187;4667596
27;Tick;28;lvmh;5.05;5.0;5.0;28444;1.6105181343184736;4696040
28;Tick;29;lvmh;5.09;5.0;5.09;366;1.592107518104963;4696406
29;Tick;30;lvmh;5.09;5.02;5.03;15500;1.5657214770968562;4711906
30;Tick;31;lvmh;5.13;5.02;5.13;65656;1.5414004678534543;4777562
31;Tick;32;lvmh;5.13;5.01;5.13;70156;1.528285285533591;4847718
32;Tick;33;lvmh;5.13;5.0;5.09;77000;1.5151365316952183;4924718
33;Tick;34;lvmh;5.06;5.0;5.05;109500;1.4928191755564657;5034218
34;Tick;35;lvmh;5.09;5.0;5.09;35658;1.4707122942324282;5069876
35;Tick;36;lvmh;5.09;5.01;5.01;2500;1.4503901532479637;5072376
36;Tick;37;lvmh;5.09;5.07;5.08;130000;1.4374580739227532;5202376
