;Tick;numtick;obname;bestask;bestbid;price;quty;volatility;cum_quty;cum_diff;vola_diff
0;Tick;1;lvmh;4.95;4.94;5.05;463492;0.0;463492;0.09653489401678023;0.0
1;Tick;2;lvmh;4.91;4.9;4.97;116762;0.0;580254;2.0594675883175473;0.0
2;Tick;3;lvmh;4.96;4.95;5.07;487;0.9050966799187816;580741;2.0618303049688143;-0.0
3;Tick;4;lvmh;5.0;4.99;5.08;106387;0.8466404195406725;687128;3.8728120101162644;-0.0
4;Tick;5;lvmh;5.0;4.99;4.95;222305;0.7986655536998396;909433;8.951057663854936;-0.0
5;Tick;6;lvmh;5.02;5.01;5.01;98502;0.9573296193057026;1007935;9.890571151646775;-0.0
6;Tick;7;lvmh;4.93;4.92;4.91;45981;0.8611310391959335;1053916;9.810483673505535;-0.0
7;Tick;8;lvmh;4.95;4.94;4.98;212597;1.036330522748873;1266513;12.303515201386112;-0.0
8;Tick;9;lvmh;5.0;4.99;5.0;280232;0.9704196441304581;1546745;10.880082811757378;-0.0
9;Tick;10;lvmh;5.21;5.2;5.42;213685;0.9078423749626237;1760430;11.05531664167481;-0.0
10;Tick;11;lvmh;5.31;5.3;5.18;191006;2.280522357316898;1951436;11.181341204877212;-0.0
11;Tick;12;lvmh;5.4;5.39;5.15;64909;2.260786669200869;2016345;11.112794906879053;-0.0
12;Tick;13;lvmh;5.27;5.26;4.99;461972;2.1985339467816982;2478317;13.83135914619947;-0.0
13;Tick;14;lvmh;5.1;5.09;5.03;45909;2.130510953521929;2524226;13.546596493595583;-0.0
14;Tick;15;lvmh;5.1;5.09;5.12;258142;2.0505437499184618;2782368;25.148284701228874;-0.0
15;Tick;16;lvmh;5.13;5.12;5.16;139505;1.9933298295876192;2921873;24.746046228061225;-0.0
16;Tick;17;lvmh;5.15;5.14;5.05;116290;1.9663027911963773;3038163;23.992431888424225;-0.0
17;Tick;18;lvmh;5.16;5.15;5.14;47240;1.9049903504464571;3085403;23.972458806138427;-0.0
18;Tick;19;lvmh;5.08;5.07;4.98;113310;1.8691300272649642;3198713;23.931215297405426;-0.0
19;Tick;20;lvmh;5.05;5.04;4.98;31446;1.8462644441305842;3230159;25.138943879302264;-0.0
20;Tick;21;lvmh;4.99;4.98;4.99;88083;1.8227290123964053;3318242;24.336564049644068;-0.0
21;Tick;22;lvmh;5.07;5.06;5.14;2175946;1.793788223418859;5494188;21.735542903331016;-0.0
22;Tick;23;lvmh;5.12;5.11;5.11;17500;1.7729707014570497;5511688;21.651588843794226;-0.0
23;Tick;24;lvmh;5.13;5.12;5.12;19000;1.7397905466592967;5530688;21.561169971927917;-0.2853647551698324
24;Tick;25;lvmh;5.14;5.13;5.12;14500;1.7115329174562282;5545188;21.49267256413807;-0.8173343848238346
25;Tick;26;lvmh;5.14;5.13;5.12;52163;1.6844385810510663;5597351;21.545676550256214;-0.7573907120327086
26;Tick;27;lvmh;5.13;5.12;5.08;71778;1.658452290540791;5669129;21.45714839073476;-1.0139851332555523
27;Tick;28;lvmh;5.14;5.13;5.12;29500;1.6265377558559981;5698629;21.34966908288686;-0.9946874360594283
28;Tick;29;lvmh;5.14;5.13;5.13;7442;1.6031714600000608;5706071;21.498673666629333;-0.6949242918133325
29;Tick;30;lvmh;5.14;5.13;5.13;17549;1.58364050256973;5723620;21.471438521906;-1.144458049211862
30;Tick;31;lvmh;5.14;5.13;5.13;71632;1.5646297347604474;5795252;21.301450405039223;-1.507023475822741
31;Tick;32;lvmh;5.14;5.13;5.13;78921;1.5461385824462919;5874173;21.1739833051345;-1.1681913764201035
32;Tick;33;lvmh;5.12;5.11;5.09;90952;1.5281614506834136;5965125;21.126224892471;-0.8596531544006959
33;Tick;34;lvmh;5.13;5.12;5.08;119142;1.5043855082975752;6084267;20.858234585788697;-0.7747979748986031
34;Tick;35;lvmh;5.13;5.12;5.09;35712;1.4814166751521638;6119979;20.71259731007228;-0.7278365021978854
35;Tick;36;lvmh;5.12;5.11;5.08;2977;1.4597340611946277;6122956;20.711792658903835;-0.6442340997516747
36;Tick;37;lvmh;5.07;5.06;5.08;166474;1.4387295983411381;6289430;20.895337053684703;-0.08845645250125685
